 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances      Avg (ns)           Med (ns)          Min (ns)         Max (ns)        StdDev (ns)      Style           Range        
 --------  ---------------  ---------  -----------------  -----------------  ---------------  ---------------  ----------------  -------  ---------------------
     32.3  154,071,248,802          1  154,071,248,802.0  154,071,248,802.0  154,071,248,802  154,071,248,802               0.0  PushPop  :train               
     29.5  140,533,688,328         20    7,026,684,416.4    1,301,481,440.5      391,971,018  116,515,887,052  25,771,938,735.0  PushPop  :gradient calc       
      9.8   46,501,234,824         45    1,033,360,773.9       88,814,101.0       34,726,950   28,871,400,577   4,265,733,316.0  PushPop  :loss-fwd            
      5.2   24,999,218,330         45      555,538,185.1       88,138,497.0       34,025,336    7,533,711,493   1,142,952,837.2  PushPop  :m-transformer       
      4.6   21,722,463,375        180      120,680,352.1        1,494,258.0          820,374    5,973,598,408     495,040,242.1  PushPop  :tf-attn             
      4.5   21,468,673,076         45      477,081,623.9          234,578.0          153,979   21,335,397,481   3,180,084,347.7  PushPop  :m-embedding         
      2.9   13,929,899,636          1   13,929,899,636.0   13,929,899,636.0   13,929,899,636   13,929,899,636               0.0  PushPop  :data rank           
      1.8    8,679,153,799          1    8,679,153,799.0    8,679,153,799.0    8,679,153,799    8,679,153,799               0.0  PushPop  :test                
      1.6    7,842,882,129         45      174,286,269.5       24,083,894.0        1,006,602    5,874,380,401     869,621,860.5  PushPop  :loss-find masks     
      1.5    6,938,246,349         20      346,912,317.4       81,142,671.0       78,502,579    5,122,068,056   1,125,663,404.6  PushPop  :recalc loss         
      1.3    6,400,876,750         20      320,043,837.5        8,155,215.0        7,994,895    6,245,105,019   1,394,614,700.7  PushPop  :update              
      1.2    5,800,765,615          1    5,800,765,615.0    5,800,765,615.0    5,800,765,615    5,800,765,615               0.0  PushPop  :data load           
      1.2    5,643,047,899          5    1,128,609,579.8        7,223,865.0        6,576,979    5,614,582,331   2,507,735,026.1  PushPop  :onecold             
      0.9    4,422,780,973         45       98,284,021.6          659,236.0          257,838    4,319,321,699     643,632,880.0  PushPop  :loss-crossentropy   
      0.6    2,887,746,363        180       16,043,035.3          380,897.5          196,126    1,262,865,415     123,283,737.2  PushPop  :tf-mlp              
      0.4    2,104,831,808          5      420,966,361.6      261,570,856.0      191,986,740    1,126,792,248     395,732,899.3  PushPop  :get ranks/errors    
      0.2      823,860,429         45       18,308,009.5           67,825.0           49,720      810,691,884     120,815,636.6  PushPop  :loss-onehotbatch    
      0.1      479,182,198          1      479,182,198.0      479,182,198.0      479,182,198      479,182,198               0.0  PushPop  :split/mask          
      0.1      448,547,928          5       89,709,585.6       96,165,899.0       59,445,776      110,550,352      19,315,803.5  PushPop  :loss calc           
      0.1      429,380,241          5       85,876,048.2          180,251.0          153,570      428,691,047     191,639,410.6  PushPop  :find indices        
      0.1      326,808,284        180        1,815,601.6          439,796.0          286,944      232,959,989      17,328,409.3  PushPop  :tf-drop/norm        
      0.0      160,193,040         25        6,407,721.6          312,410.0          225,002      151,536,782      30,235,459.0  PushPop  :cpu to gpu          
      0.0       59,934,239        180          332,968.0           60,536.0           48,822       46,812,074       3,485,032.2  PushPop  :tf-reshape bkw/resid
      0.0       44,970,833          5        8,994,166.6        2,255,444.0        1,803,277       31,171,515      12,617,256.6  PushPop  :gpu to cpu          
      0.0       32,565,668         45          723,681.5          704,962.0          440,893        2,226,150         334,038.1  PushPop  :m-classifier        
      0.0          246,841        180            1,371.3              964.5              575           30,131           3,090.0  PushPop  :tf-reshape fwd      
      0.0           94,014         45            2,089.2              823.0              556           28,571           5,715.5  PushPop  :loss-reshape        

Processing [out/nsight/rtf_report.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls      Avg (ns)         Med (ns)      Min (ns)     Max (ns)        StdDev (ns)              Name         
      4.5      450,899,106        533     845,964.6     882,247.0      10,208   1,003,051    165,989.4  big_mapreduce_kernel(identity, add_sum, Float32, CartesianIndices<(long)3, Tuple<OneTo<Int64>, OneT…
      4.1      407,490,141         80   5,093,626.8   5,254,531.5     256,843   6,427,669  1,145,360.6  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll4ELl1EE11BroadcastedI12CuArrayStyleILl4E12DeviceMe…
      3.6      359,327,298        387     928,494.3     928,072.0     566,936   1,050,125     68,983.4  big_mapreduce_kernel(identity, add_sum, Float32, CartesianIndices<(long)3, Tuple<OneTo<Int64>, OneT…
      3.5      345,389,466        340   1,015,851.4     257,435.5      12,097   4,224,407  1,366,468.8  rand_                                                                                               
      3.4      341,833,156         80   4,272,914.5   4,401,982.0     214,826   5,380,711    966,157.0  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll4ELl1EE11BroadcastedI12CuArrayStyleILl4E12DeviceMe…
      3.4      332,820,197        500     665,640.4     689,342.0      37,826     813,828    146,327.1  sgemm_32x32x32_TN_vec                                                                               
      3.0      293,541,748        953     308,018.6     289,900.0      15,392     533,495     94,401.5  sgemm_32x32x32_NN_vec                                                                               
      2.2      219,454,737        160   1,371,592.1   1,094,143.5      97,700   2,200,671    486,295.4  maxwell_sgemm_128x64_nt                                                                             
      1.9      190,393,002        310     614,171.0     294,156.5       2,849   7,361,758  1,480,692.7  partial_mapreduce_grid(identity, add_sum, Float32, CartesianIndices<(long)2, Tuple<OneTo<Int64>, On…
      1.9      185,544,888        216     859,004.1     872,981.5     473,620     990,603     95,258.4  big_mapreduce_kernel(identity, add_sum, Float32, CartesianIndices<(long)3, Tuple<OneTo<Int64>, OneT…
      1.8      181,362,757      1,040     174,387.3     130,150.0       7,328     425,459     94,205.6  permutedims_kernel(CuKernelContext, CuDeviceArray<Float32, (long)1, (long)1>, CuDeviceArray<Float32…
      1.5      149,060,926        720     207,029.1     210,793.5      12,641     265,836     45,711.2  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      1.3      128,496,343        424     303,057.4     286,940.5      15,041     526,998     95,523.4  sgemm_32x32x32_NT_vec                                                                               
      0.8       78,747,129        320     246,084.8     175,991.5       8,352     354,799     98,959.0  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.8       78,232,030        610     128,249.2     209,145.0       3,712     264,780    105,081.6  partial_mapreduce_grid(identity, add_sum, Float32, CartesianIndices<(long)3, Tuple<OneTo<Int64>, On…
      0.8       75,971,448        360     211,031.8     216,729.0      13,473     301,421     48,147.2  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.7       65,433,995        260     251,669.2     260,620.0      16,448     308,717     55,055.1  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.7       64,621,043        225     287,204.6     223,274.0      13,888     482,837    106,193.6  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.7       64,523,941        260     248,169.0     252,411.0      15,169     344,751     54,731.2  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll4ELl1EE11BroadcastedI12CuArrayStyleILl4E12DeviceMe…
      0.6       63,979,253        200     319,896.3     237,083.0      11,584   1,027,756    235,762.6  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.6       56,485,381         45   1,255,230.7   1,284,311.0      80,099   1,571,268    272,036.8  sgemm_128x128x8_NN                                                                                  
      0.6       55,916,350        225     248,517.1     254,059.0      15,329     312,782     51,907.0  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.5       52,765,774        180     293,143.2     296,301.0      18,625     394,961     66,199.0  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.5       51,898,933        172     301,738.0     297,949.0     230,410     357,903     19,768.9  sgemm_128x128x8_NN_vec                                                                              
      0.5       45,767,556        400     114,418.9     119,237.5       6,304     130,277     22,890.1  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.4       44,654,573        180     248,081.0     255,627.0      16,577     311,757     54,942.8  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.4       43,481,753        125     347,854.0     206,473.0      12,416   1,033,709    307,660.8  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.4       42,051,796        200     210,259.0     216,201.0      13,825     264,940     46,881.4  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.4       38,294,425        125     306,355.4     269,324.0      12,000     508,310    105,800.1  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.4       37,518,261        180     208,434.8     213,705.0      13,537     262,123     46,973.4  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.4       37,488,915        180     208,271.8     213,497.5      13,376     262,572     47,000.9  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.4       37,353,970        180     207,522.1     213,705.0      13,760     262,060     46,036.3  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.3       34,016,959         20   1,700,847.9   1,756,444.5      95,876   2,132,444    393,349.2  sgemm_32x32x32_TN                                                                                   
      0.3       32,660,934        160     204,130.8     210,201.5      14,080     257,707     45,054.5  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.3       29,935,886        100     299,358.9     345,231.0      11,713     383,025     93,892.7  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.3       29,903,087        180     166,128.3     171,111.0      10,528     208,841     36,956.3  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.3       28,198,403         20   1,409,920.1   1,453,295.0      78,819   1,706,185    322,745.1  sgemm_32x32x32_NT                                                                                   
      0.2       23,037,508        100     230,375.1     262,219.0       8,289     312,877     72,770.5  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.2       22,776,275         76     299,687.8     295,629.0     287,053     355,152     14,983.7  sgemm_128x128x8_NT_vec                                                                              
      0.1        8,891,516         80     111,143.9     116,533.0       7,072     118,181     23,990.6  void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensor<const float>, cublasGemvT…
      0.1        8,532,238         45     189,605.3     194,025.0      12,576     238,154     41,239.1  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll3ELl1EE11BroadcastedI12CuArrayStyleILl3E12DeviceMe…
      0.1        6,096,008         45     135,466.8     139,877.0       8,865     164,904     28,934.1  void cudnn::ops::softmax_fw_kernel<(int)2, float, float, (int)256, (int)2, (int)1, (int)0>(cudnnTen…
      0.1        6,044,166         45     134,314.8     137,478.0       8,224     168,712     29,338.8  gpu__gather_(CompilerMetadata<DynamicSize, DynamicCheck, void, CartesianIndices<(long)1, Tuple<OneT…
      0.1        5,230,598         45     116,235.5     120,262.0       7,168     136,421     24,600.1  getindex_kernel(CuKernelContext, CuDeviceArray<Float32, (long)2, (long)1>, CuDeviceArray<Float32, (…
      0.1        5,150,077         20     257,503.9     269,435.5      14,689     277,676     57,237.7  scatter_kernel_(_, CuDeviceArray<Float32, (long)2, (long)1>, CuDeviceArray<Float32, (long)2, (long)…
      0.0        4,208,657         45      93,525.7      96,452.0       6,560     112,293     19,854.7  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.0        3,540,596        184      19,242.4      10,368.0       7,680     414,898     59,077.5  partial_mapreduce_grid(identity, add_sum, Float32, CartesianIndices<(long)4, Tuple<OneTo<Int64>, On…
      0.0        3,051,076          5     610,215.2     623,771.0     476,309     693,406     80,468.0  partial_mapreduce_grid(identity, reduction<isless>, Tuple<Float32, Int64>, CartesianIndices<(long)2…
      0.0        2,570,128         20     128,506.4     133,174.0       8,256     150,982     28,820.9  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.0        2,543,469         20     127,173.4     133,238.0       7,872     136,902     28,116.1  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.0        1,903,150        560       3,398.5       2,752.0       2,464       8,800      1,436.5  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.0        1,877,714         20      93,885.7      96,676.5       6,816     112,293     21,036.9  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
      0.0        1,704,317        560       3,043.4       2,624.0       2,272       6,816      1,073.4  _Z3_3515CuKernelContext13CuDeviceArrayI7Float32Ll2ELl1EE11BroadcastedI12CuArrayStyleILl2E12DeviceMe…
